inf_type,antigen,country,year,target_num,doses,coverage
PER,DTPCV1,MUS,"2021",12803,10638,83.09
PER,DTPCV1,MEX,"2021",2119036,1761829,83.14
PER,DTPCV1,FSM,"2021",4004,3823,95.48
PER,DTPCV1,MCO,"2021",0,0,0
PER,DTPCV1,MNG,"2021",70631,68556,97.06
PER,DTPCV1,MNE,"2021",7088,6630,93.54
PER,DTPCV1,MSR,"2021",56,54,96.43
PER,DTPCV1,MOZ,"2021",1073872,1086550,101.18
PER,DTPCV1,MMR,"2021",943217,423189,44.87
PER,DTPCV1,NAM,"2021",94101,94788,100.73
PER,DTPCV1,NRU,"2021",346,351,101.45
PER,DTPCV1,NPL,"2021",620258,546816,88.16
PER,DTPCV1,NLD,"2021",0,0,0
PER,DTPCV1,NZL,"2021",59903,55830,93.2
PER,DTPCV1,NIC,"2021",129552,125312,96.73
PER,DTPCV1,NER,"2021",996162,1029195,103.32
PER,DTPCV1,NGA,"2021",8036751,6794019,84.54
PER,DTPCV1,NIU,"2021",0,0,0
PER,DTPCV1,MKD,"2021",18383,16376,89.08
PER,DTPCV1,MNP,"2021",583,455,78.04
PER,DTPCV1,NOR,"2021",55540,54596,98.3
PER,DTPCV1,PSE,"2021",136067,135714,99.74
PER,DTPCV1,OMN,"2021",80773,80698,99.91
PER,DTPCV1,PAK,"2021",7006962,6654104,94.96
PER,DTPCV1,PLW,"2021",595,591,99.33
PER,DTPCV1,PAN,"2021",66058,64447,97.56
PER,DTPCV1,PNG,"2021",306488,159539,52.05
PER,DTPCV1,PRY,"2021",142274,94718,66.57
PER,DTPCV1,PER,"2021",506008,455944,90.11
PER,DTPCV1,PHL,"2021",2128152,1223570,57.49
PER,DTPCV1,POL,"2021",330205,0,48.8
PER,DTPCV1,PRT,"2021",0,0,0
PER,DTPCV1,QAT,"2021",26197,25850,98.68
PER,DTPCV1,KOR,"2021",276176,271253,98.22
PER,DTPCV1,MDA,"2021",32973,28294,85.81
PER,DTPCV1,ROU,"2021",143535,138633,96.58
PER,DTPCV1,RUS,"2021",0,0,0
PER,DTPCV1,RWA,"2021",378858,340778,89.95
PER,DTPCV1,KNA,"2021",615,597,97.07
PER,DTPCV1,LCA,"2021",1830,1636,89.4
PER,DTPCV1,VCT,"2021",1338,1212,90.58
PER,DTPCV1,WSM,"2021",5821,5575,95.77
PER,DTPCV1,SMR,"2021",246,223,90.65
PER,DTPCV1,STP,"2021",5794,5644,97.41
PER,DTPCV1,SAU,"2021",485386,472281,97.3
PER,DTPCV1,SEN,"2021",589156,542875,92.14
PER,DTPCV1,SRB,"2021",0,0,0
PER,DTPCV1,SYC,"2021",1660,1668,100.48
PER,DTPCV1,SLE,"2021",307022,287450,94
PER,DTPCV1,SGP,"2021",0,0,98.6
PER,DTPCV1,SVK,"2021",57409,55685,97
PER,DTPCV1,SVN,"2021",0,0,0
PER,DTPCV1,SLB,"2021",16575,15715,94.81
PER,DTPCV1,SOM,"2021",638869,574254,89.89
PER,DTPCV1,ZAF,"2021",1142769,1037943,90.83
PER,DTPCV1,SSD,"2021",488613,470948,96.38
PER,DTPCV1,ESP,"2021",313477,300308,95.8
PER,DTPCV1,LKA,"2021",309074,297739,96.33
PER,DTPCV1,SDN,"2021",1753839,1626027,92.71
PER,DTPCV1,SUR,"2021",9437,8815,93.41
PER,DTPCV1,SWE,"2021",0,0,0
PER,DTPCV1,CHE,"2021",0,0,97
PER,DTPCV1,SYR,"2021",572825,436757,76.25
PER,DTPCV1,TJK,"2021",237196,229661,96.82
PER,DTPCV1,THA,"2021",353424,323847,91.63
PER,DTPCV1,TLS,"2021",31679,31282,98.75
PER,DTPCV1,TGO,"2021",330878,304771,92.11
PER,DTPCV1,TKL,"2021",34,32,94.12
PER,DTPCV1,TON,"2021",2014,2012,99.9
PER,DTPCV1,TTO,"2021",13826,13196,95.44
PER,DTPCV1,TUN,"2021",171287,153634,89.69
PER,DTPCV1,TUR,"2021",1073509,1017585,94.79
PER,DTPCV1,TKM,"2021",0,0,98.8
PER,DTPCV1,TCA,"2021",572,528,92.31
PER,DTPCV1,TUV,"2021",286,283,98.95
PER,DTPCV1,UGA,"2021",1840768,1779591,96.68
PER,DTPCV1,UKR,"2021",284763,264771,92.98
PER,DTPCV1,ARE,"2021",72763,70177,96.45
PER,DTPCV1,GBR,"2021",0,0,0
PER,DTPCV1,TZA,"2021",2176804,2200358,101.08
PER,DTPCV1,USA,"2021",0,0,0
PER,DTPCV1,URY,"2021",34603,33979,98.2
PER,DTPCV1,UZB,"2021",795737,774630,97.35
PER,DTPCV1,VUT,"2021",0,0,0
PER,DTPCV1,VEN,"2021",532132,350898,72.73
PER,DTPCV1,VNM,"2021",1501510,1310015,87.25
PER,DTPCV1,YEM,"2021",1096683,1028141,94
PER,DTPCV1,ZMB,"2021",764176,715723,93.66
PER,DTPCV1,ZWE,"2021",529341,439711,83.07
PER,DTPCV1,AFG,"2020",1780564,1731119,97.22
PER,DTPCV1,ALB,"2020",28075,27699,98.66
PER,DTPCV1,AND,"2020",0,0,0
PER,DTPCV1,AGO,"2020",1089677,918241,84.27
PER,DTPCV1,AIA,"2020",158,112,70.89
PER,DTPCV1,ATG,"2020",1021,1008,98.73
PER,DTPCV1,ARG,"2020",640656,506694,79.09
PER,DTPCV1,ARM,"2020",33355,32043,96.07
PER,DTPCV1,AUS,"2020",0,0,0
PER,DTPCV1,AUT,"2020",0,0,0
PER,DTPCV1,AZE,"2020",126055,106566,84.54
PER,DTPCV1,BHS,"2020",3897,3770,96.74
PER,DTPCV1,BHR,"2020",17843,17775,99.62
PER,DTPCV1,BGD,"2020",3293482,3737688,113.49
PER,DTPCV1,BRB,"2020",2384,2043,85.7
PER,DTPCV1,BLR,"2020",81514,79140,97.09
PER,DTPCV1,BEL,"2020",0,0,0
PER,DTPCV1,BLZ,"2020",7359,5816,79.03
PER,DTPCV1,BEN,"2020",347445,427964,123.17
PER,DTPCV1,BMU,"2020",540,501,92.78
PER,DTPCV1,BTN,"2020",10600,10151,95.76
PER,DTPCV1,BOL,"2020",242849,192415,79.23
PER,DTPCV1,BIH,"2020",0,0,0
PER,DTPCV1,BWA,"2020",64682,55163,85.28
PER,DTPCV1,BRA,"2020",2923441,2587095,88.49
PER,DTPCV1,VGB,"2020",330,279,84.55
