inf_type,country,year,cases
PER,TLS,"2020",5
PER,TGO,"2020",3
PER,TON,"2020",0
PER,TTO,"2020",0
PER,TUN,"2020",11
PER,TKM,"2020",0
PER,TCA,"2020",0
PER,TUV,"2020",0
PER,TUR,"2020",22
PER,UGA,"2020",0
PER,UKR,"2020",1041
PER,ARE,"2020",24
PER,GBR,"2020",1226
PER,TZA,"2020",0
PER,USA,"2020",18617
PER,URY,"2020",22
PER,UZB,"2020",39
PER,VUT,"2020",0
PER,VEN,"2020",1
PER,VNM,"2020",158
PER,YEM,"2020",0
PER,ZMB,"2020",0
PER,ZWE,"2020",0
PER,AFG,"2019",0
PER,ALB,"2019",11
PER,DZA,"2019",0
PER,ASM,"2019",0
PER,AND,"2019",1
PER,AGO,"2019",0
PER,ATG,"2019",0
PER,ARG,"2019",975
PER,ARM,"2019",39
PER,ABW,"2019",0
PER,AUS,"2019",12021
PER,AUT,"2019",2233
PER,AZE,"2019",0
PER,BHS,"2019",0
PER,BHR,"2019",5
PER,BGD,"2019",12
PER,BRB,"2019",4
PER,BLR,"2019",776
PER,BEL,"2019",1098
PER,BLZ,"2019",0
PER,BEN,"2019",0
PER,BMU,"2019",2
PER,BTN,"2019",2
PER,BOL,"2019",29
PER,BIH,"2019",0
PER,BWA,"2019",0
PER,BRA,"2019",1423
PER,VGB,"2019",0
PER,BRN,"2019",2
PER,BGR,"2019",70
PER,BFA,"2019",153
PER,BDI,"2019",0
PER,CPV,"2019",0
